tipo,municipios,distancia_total_km,custo_combustivel,custo_pedagio,custo_alimentacao,custo_estadia,custo_total
Final de Semana (Pernoite),['Teodoro Sampaio'],1174.6130985250497,378.48644285807154,176.19196477875747,200,200,954.678407636829
Final de Semana (Pernoite),"['Mesópolis', 'Populina']",1192.5810799404949,384.2761257586039,178.88716199107424,200,200,963.1632877496781
Final de Semana (Pernoite),"['Andradina', 'Murutinga do Sul']",1194.9391370136243,385.0359441488345,179.24087055204365,200,200,964.2768147008782
Final de Semana (Pernoite),['Nova Independência'],1160.9250128300973,374.07583746747576,174.1387519245146,200,200,948.2145893919903
Final de Semana (Pernoite),"['Ouro Verde', 'Tupi Paulista']",1195.3740180285083,385.17607247585266,179.30610270427624,200,200,964.4821751801289
Final de Semana (Pernoite),"['Nova Canaã Paulista', 'Suzanápolis']",1189.386232090161,383.2466747846074,178.40793481352415,200,200,961.6546095981316
Final de Semana (Pernoite),['Marabá Paulista'],1159.0323042348464,373.46596469789495,173.85484563522695,200,200,947.3208103331219
Final de Semana (Pernoite),"['Santana da Ponte Pensa', 'Santa Salete']",1178.3278000792343,379.68340224775324,176.74917001188513,200,200,956.4325722596384
Final de Semana (Pernoite),"['Monte Castelo', 'Dracena']",1195.9903990500648,385.3746841383542,179.3985598575097,200,200,964.7732439958639
Final de Semana (Pernoite),"['Presidente Venceslau', 'Piquerobi']",1177.649739263092,379.4649159847741,176.6474608894638,200,200,956.112376874238
Final de Semana (Pernoite),"['Pereira Barreto', 'Sud Mennucci']",1192.3856631082192,384.2131581126484,178.85784946623286,200,200,963.0710075788812
Final de Semana (Pernoite),"['Paranapuã', 'Turmalina', 'Dolcinópolis']",1186.3676315042057,382.2740145957996,177.95514472563084,200,200,960.2291593214304
Final de Semana (Pernoite),"[""Aparecida d'Oeste"", 'Marinópolis', ""Palmeira d'Oeste""]",1177.9800750845502,379.571357527244,176.69701126268254,200,200,956.2683687899265
Final de Semana (Pernoite),"['Mirante do Paranapanema', 'Sandovalina']",1183.52913970549,381.35938946065784,177.5293709558235,200,200,958.8887604164813
Final de Semana (Pernoite),"['Urânia', 'São Francisco', 'Vitória Brasil']",1194.3018097158458,384.8305831306614,179.14527145737688,200,200,963.9758545880383
Final de Semana (Pernoite),"['Ouroeste', 'Indiaporã', ""Guarani d'Oeste""]",1164.6323118084995,375.27041158273875,174.6948467712749,200,200,949.9652583540137
Final de Semana (Pernoite),"['Guaraçaí', 'Mirandópolis', 'Lavínia']",1198.1022529183624,386.05517038480565,179.71533793775436,200,200,965.77050832256
Final de Semana (Pernoite),"['Jales', 'Dirce Reis', ""Estrela d'Oeste""]",1189.469861352177,383.273621991257,178.42047920282656,200,200,961.6941011940836
Final de Semana (Pernoite),"['Ribeirão dos Índios', 'Santo Anastácio', 'Emilianópolis']",1169.2898386347754,376.77117022676094,175.3934757952163,200,200,952.1646460219772
Final de Semana (Pernoite),"['Junqueirópolis', 'Irapuru', 'Flora Rica']",1167.808937746718,376.2939910517202,175.17134066200768,200,200,951.4653317137279
Final de Semana (Pernoite),"['Mira Estrela', 'Macedônia', 'Cardoso']",1189.5637627951828,383.3038791228922,178.43456441927742,200,200,961.7384435421696
Final de Semana (Pernoite),"['Presidente Bernardes', 'Estrela do Norte']",1195.8703109923988,385.33598909755074,179.38054664885982,200,200,964.7165357464105
Final de Semana (Pernoite),"['Pontalinda', 'Guzolândia', 'São João das Duas Pontes']",1171.0970997239385,377.35350991104684,175.66456495859077,200,200,953.0180748696376
Final de Semana (Pernoite),"['Pacaembu', 'Santo Expedito', 'Flórida Paulista']",1162.142423001083,374.46811407812675,174.32136345016244,200,200,948.7894775282891
Final de Semana (Pernoite),"['Tarabai', 'Álvares Machado', 'Pirapozinho', 'Narandiba', 'Anhumas']",1195.5944015788025,385.24708495316963,179.33916023682036,200,200,964.58624518999
Final de Semana (Pernoite),"['Fernandópolis', 'Auriflama', 'Meridiano']",1198.6294596342973,386.22504810438465,179.7944189451446,200,200,966.0194670495292
Final de Semana (Pernoite),"['Alfredo Marcondes', 'Presidente Prudente', 'Mariápolis', 'Caiabu']",1199.5431108372911,386.5194468253493,179.93146662559366,200,200,966.450913450943
Final de Semana (Pernoite),"['Pedranópolis', 'São João de Iracema', 'Parisi', 'Valentim Gentil']",1192.1650154808842,384.14206054384044,178.82475232213264,200,200,962.9668128659731
Final de Semana (Pernoite),"['Riolândia', 'Álvares Florence', 'Pontes Gestal']",1167.1855669143745,376.09312711685396,175.07783503715618,200,200,951.1709621540101
Final de Semana (Pernoite),"['Valparaíso', 'Adamantina', 'Bento de Abreu', 'Rubiácea']",1196.4682171594977,385.52864775139375,179.47023257392465,200,200,964.9988803253184
Final de Semana (Pernoite),"['General Salgado', 'Santo Antônio do Aracanguá', 'Nova Castilho', 'Magda', 'Floreal']",1195.0704312693124,385.07825007566726,179.26056469039685,200,200,964.3388147660642
Final de Semana (Pernoite),"['Regente Feijó', 'Indiana', 'Lucélia', 'Martinópolis']",1194.9050766011069,385.0249691270233,179.23576149016603,200,200,964.2607306171893
Final de Semana (Pernoite),"['Pracinha', 'Taciba', 'Inúbia Paulista', 'Sagres']",1195.7566468034368,385.29936396999625,179.3634970205155,200,200,964.6628609905117
Final de Semana (Pernoite),"['Votuporanga', 'Paulo de Faria', 'Cosmorama']",1195.5445154525414,385.2310105347078,179.3316773178812,200,200,964.5626878525891
Final de Semana (Pernoite),"['Guararapes', 'Salmourão', 'Araçatuba', 'Gabriel Monteiro']",1195.430152505905,385.1941602519027,179.31452287588573,200,200,964.5086831277885
Final de Semana (Pernoite),"['Américo de Campos', 'Nova Luzitânia']",1155.9431406079952,372.4705675292429,173.3914710911993,200,200,945.8620386204421
Final de Semana (Pernoite),"['Nantes', 'Osvaldo Cruz']",1181.551122515893,380.72202836623217,177.23266837738393,200,200,957.9546967436161
Final de Semana (Pernoite),"['Gastão Vidigal', 'Nhandeara', 'Lourdes', 'Sebastianópolis do Sul', 'Monções', 'Turiúba']",1179.936459040723,380.2017479131219,176.99046885610846,200,200,957.1922167692303
Final de Semana (Pernoite),"['Parapuã', 'Rinópolis', 'Piacatu', 'Bilac', 'Bastos']",1179.7194187485647,380.13181270787084,176.95791281228472,200,200,957.0897255201555
Final de Semana (Pernoite),"['Orindiúva', 'Macaubal', 'Palestina']",1196.541885458193,385.55238531430666,179.48128281872894,200,200,965.0336681330356
Final de Semana (Pernoite),"['Iepê', 'Rancharia', 'João Ramalho']",1165.3834905871754,375.5124580780898,174.8075235880763,200,200,950.3199816661661
Final de Semana (Pernoite),"['Birigui', 'Iacri', 'Buritama', 'Brejo Alegre']",1189.7203352459278,383.35433024591003,178.45805028688918,200,200,961.8123805327992
Final de Semana (Pernoite),"['Tanabi', 'Poloni', 'Zacarias', 'União Paulista']",1179.945811569516,380.20476150573296,176.9918717354274,200,200,957.1966332411604
